platform,key,country_code,date,shop_id,shop_slug,shop_name,location,item_id,product_name,url,image_url,images,seller_flag,seller_flag_hash,image_overlay,image_overlay_hash,is_ad,is_sold_out,shopee_verified,ctime,price,price_original,price_before_promo,discount_percent,promotion_id,voucher_code,voucher_discount,voucher_start_time,voucher_end_time,voucher_min_spend,history_sold_value,monthly_sold_value,rating,rating_count,rating_count_detail,vouchers,brand,brand_id,catid,global_catids,liked_count,tier_variation_name,tier_variation_options
Shopee,,id,2026-07-02,859233628,hejiofficial,He-Ji Official Store,KOTA BEKASI,23168355689,"[HE-JI] Gel Mask With Sakura Extract - Masker Gel Wajah Melembabkan, Mencerahkan & Menenangkan Wajah I Mengandung Niacinamide 2%, Extract Sakura, 5x Ceramide & Centella Asiatica - UJI LAB SIG & BPOM APPROVED",https://shopee.co.id/product/859233628/23168355689,https://down-id.img.susercontent.com/file/id-11134207-7ra0o-mdsxqvp5so0ed6,"[""https://down-id.img.susercontent.com/file/id-11134207-7ra0o-mdsxqvp5so0ed6"", ""https://down-id.img.susercontent.com/file/id-11134207-7ra0p-mdsxqvp5ogb2bf"", ""https://down-id.img.susercontent.com/file/sg-11134201-823q5-mp8lvz16ueq555"", ""https://down-id.img.susercontent.com/file/id-11134207-7ra0t-mdsxqvp5ln66a5"", ""https://down-id.img.susercontent.com/file/id-11134207-7ra0l-mdsxqvp5r9fyc2"", ""https://down-id.img.susercontent.com/file/id-11134207-7ra0s-mdsxqvo1na2z36"", ""https://down-id.img.susercontent.com/file/id-11134207-7ra0l-mdsxqvo1n9zsb0"", ""https://down-id.img.susercontent.com/file/id-11134207-7ra0j-mdsxqvp5puvi8b""]","[""OFFICIAL_SHOP""]","[""id-11134258-7r98z-lykpu80ygbvs76""]",FSS+PromoXtra+SPayLater_NEW,id-11134258-822wl-mlx99kiyj4lg66,False,False,False,1684480961,36750,75000,37500,51,473138047758918,,,,,,10000,1000,4.822301881961336,15630,"[48, 68, 337, 1706, 13471]",[],He-Ji,3730100,100630,"[100630, 100664, 100898]",23204,Gel Mask,"[""Gelmask 50gr"", ""2 Gelmask 50gr"", ""Gelmask 250gr"", ""2 Gelmask 250gr""]"
Shopee,,id,2026-07-02,859233628,hejiofficial,He-Ji Official Store,KOTA BEKASI,22827368281,"[HE-JI] Bundle 2 in 1 - Glowing Set Sakura Gel Mask & Rosses Secret Glow Serum I Glowing Treatment Skincare For All Skin Type Untuk Hydrating, Brightening & Glowing Skin - UJI LAB SIG & BPOM APRROVED",https://shopee.co.id/product/859233628/22827368281,https://down-id.img.susercontent.com/file/id-11134207-81ztc-me8a16lkljwj64,"[""https://down-id.img.susercontent.com/file/id-11134207-81ztc-me8a16lkljwj64"", ""https://down-id.img.susercontent.com/file/id-11134207-81ztg-me8a16lk8wsjb0"", ""https://down-id.img.susercontent.com/file/id-11134207-81zti-me8a16lkabcz9e"", ""https://down-id.img.susercontent.com/file/id-11134207-81ztn-me8a16lkfxmrc6"", ""https://down-id.img.susercontent.com/file/id-11134207-81ztc-me8a16lkd4hv5c"", ""https://down-id.img.susercontent.com/file/id-11134207-81ztp-me8a16lkiqrn92"", ""https://down-id.img.susercontent.com/file/sg-11134201-823ok-mp8eumz1wgemd7"", ""https://down-id.img.susercontent.com/file/id-11134207-81ztk-me8a16lkhc773f"", ""https://down-id.img.susercontent.com/file/id-11134207-81ztj-me8a16lkk5c35a""]","[""OFFICIAL_SHOP""]","[""id-11134258-7r98z-lykpu80ygbvs76""]",FSS+PromoXtra+SPayLater_NEW,id-11134258-822wl-mlx99kiyj4lg66,False,False,False,1677294566,136220,250000,139000,46,473138047758918,,,,,,1000,23,4.797671033478894,688,"[11, 6, 10, 57, 604]",[],He-Ji,3730100,100630,"[100630, 100665]",1088,PAKET HEMAT,"[""Gelmask 50gr"", ""Serum"", ""Gelmask 250gr"", ""Gelmask 250gr+Serum""]"
Shopee,,id,2026-07-02,859233628,hejiofficial,He-Ji Official Store,KOTA BEKASI,22328349764,"[HE-JI] Bundle 2 in 1 Glowing Set Gel Mask with Sakura Extract & Rosses Secret Glow Serum - Perawatan Kulit Wajah Normal & Sensitif I Paket Skincare Cocok Untuk Menenangkan, Melembabkan & Mencerahkan Wajah - BPOM APPROVED",https://shopee.co.id/product/859233628/22328349764,https://down-id.img.susercontent.com/file/id-11134207-81ztk-me8a65vuzri90e,"[""https://down-id.img.susercontent.com/file/id-11134207-81ztk-me8a65vuzri90e"", ""https://down-id.img.susercontent.com/file/id-11134207-81zth-me8a65vupxj547"", ""https://down-id.img.susercontent.com/file/id-11134207-81ztf-me8a65vurc3le2"", ""https://down-id.img.susercontent.com/file/id-11134207-81ztj-me8a65vusqo1c1"", ""https://down-id.img.susercontent.com/file/id-11134207-81ztg-me8a65vuu58h08"", ""https://down-id.img.susercontent.com/file/id-11134207-81ztq-me8a65vuvjsx9d"", ""https://down-id.img.susercontent.com/file/sg-11134201-823os-mp88hiuhdou81c"", ""https://down-id.img.susercontent.com/file/id-11134207-81ztj-me8a65vuycxt38"", ""https://down-id.img.susercontent.com/file/id-11134207-81ztj-me8a16lkk5c35a""]","[""OFFICIAL_SHOP""]","[""id-11134258-7r98z-lykpu80ygbvs76""]",FSS+PromoXtra+SPayLater_NEW,id-11134258-822wl-mlx99kiyj4lg66,False,False,False,1677639963,38122,70000,38900,46,473138047758918,,,,,,2000,476,4.82089552238806,1072,"[5, 6, 25, 104, 932]","[""Pilih Lokal""]",He-Ji,3730100,100630,"[100630, 100665]",1097,Variasi,"[""Gelmask 50gr"", ""Serum 1"", ""Gelmask 50gr + Serum"", ""Gelmask 250gr"", ""Gelmask 250gr+Serum""]"
Shopee,,id,2026-07-02,859233628,hejiofficial,He-Ji Official Store,KOTA BEKASI,18154327789,"[HE-JI] TRAVEL SIZE Gel Masker With Sakura Extract 50gr - Masker Gel Wajah Melembabkan, Mencerahkan & Menenangkan Wajah I Mengandung Niacinamide 2%, Extract Sakura, 5x Ceramide & Centella Asiatica - UJI LAB SIG & BPOM APPROVED",https://shopee.co.id/product/859233628/18154327789,https://down-id.img.susercontent.com/file/id-11134207-8224q-ml4qej8o5slke8,"[""https://down-id.img.susercontent.com/file/id-11134207-8224q-ml4qej8o5slke8"", ""https://down-id.img.susercontent.com/file/id-11134207-8224t-ml4qej8y6sjs8f"", ""https://down-id.img.susercontent.com/file/id-11134207-8224z-ml4qej8y8748d3"", ""https://down-id.img.susercontent.com/file/id-11134207-82250-ml4qej8y9loobe"", ""https://down-id.img.susercontent.com/file/sg-11134201-823r9-mp6iyq1z7doicf"", ""https://down-id.img.susercontent.com/file/id-11134207-8224o-ml4qej8yb094e2"", ""https://down-id.img.susercontent.com/file/id-11134207-8224r-ml4qej8yf7ygb8"", ""https://down-id.img.susercontent.com/file/id-11134207-8224p-ml4qej8ycetke5"", ""https://down-id.img.susercontent.com/file/id-11134207-82251-ml4qej8ygmiw66""]","[""OFFICIAL_SHOP""]","[""id-11134258-7r98z-lykpu80ygbvs76""]",FSS+PromoXtra+SPayLater_NEW,id-11134258-822wl-mlx99kiyj4lg66,False,False,False,1665634939,36259,49000,36999,26,473138047758918,,,,,,643,73,3.954022988505747,174,"[37, 5, 3, 13, 116]",[],He-Ji,3730100,100630,"[100630, 100664, 100896]",71,Variasi,"[""1pcs Gelmask 50gr"", ""2pcs Gelmask 50gr"", ""3pcs Gelmask 50gr""]"
Shopee,,id,2026-07-02,859233628,hejiofficial,He-Ji Official Store,KOTA BEKASI,23200058244,"[HE-JI] BIG SIZE Gel Mask With Sakura Extract 250gr - Masker Gel Wajah Melembabkan, Mencerahkan & Menenangkan Wajah I Mengandung Niacinamide 2%, Extract Sakura, 5x Ceramide & Centella Asiatica - UJI LAB SIG & BPOM APPROVED",https://shopee.co.id/product/859233628/23200058244,https://down-id.img.susercontent.com/file/id-11134207-8224p-ml4qx8i3cg7c55,"[""https://down-id.img.susercontent.com/file/id-11134207-8224p-ml4qx8i3cg7c55"", ""https://down-id.img.susercontent.com/file/id-11134207-8224y-ml4qx8i0jbbhae"", ""https://down-id.img.susercontent.com/file/id-11134207-8224r-ml4qx8i0kpvxa9"", ""https://down-id.img.susercontent.com/file/id-11134207-8224u-ml4qx8i0m4gd72"", ""https://down-id.img.susercontent.com/file/sg-11134201-823re-mp8pyvpmknwred"", ""https://down-id.img.susercontent.com/file/id-11134207-82251-ml4qx8i0nj0t14"", ""https://down-id.img.susercontent.com/file/id-11134207-8224p-ml4qx8i0t5al45"", ""https://down-id.img.susercontent.com/file/id-11134207-8224r-ml4qx8i0ujv19a"", ""https://down-id.img.susercontent.com/file/id-11134207-8224z-ml4qx8i0oxl960""]","[""OFFICIAL_SHOP""]","[""id-11134258-7r98z-lykpu80ygbvs76""]",FSS+PromoXtra+SPayLater_NEW,id-11134258-822wl-mlx99kiyj4lg66,False,False,False,1665645647,97020,175000,99000,45,473138047758918,,,,,,318,33,3.9066666666666667,75,"[17, 2, 3, 2, 51]",[],He-Ji,3730100,100630,"[100630, 100664, 100898]",49,Varian,"[""1pcs Gelmask 250gr"", ""2pcs Gelmask 250gr"", ""3cs Gelmask 250gr""]"
Shopee,,id,2026-07-02,859233628,hejiofficial,He-Ji Official Store,KOTA BEKASI,23700000064,"[He-Ji] Bundle 2 in 1 Glowing Set Gel Mask with Sakura Extract 50gr & Rosses Secret Glow Serum - Masker Gel & Serum Skincare For All Skin Type I Menenangkan, Menghidrasi & Mencerahkan Wajah - UJI LAB SIG & BPOM APPROVED",https://shopee.co.id/product/859233628/23700000064,https://down-id.img.susercontent.com/file/id-11134207-81ztq-me8a30889ypwf6,"[""https://down-id.img.susercontent.com/file/id-11134207-81ztq-me8a30889ypwf6"", ""https://down-id.img.susercontent.com/file/id-11134207-81zte-me8a3088crusf8"", ""https://down-id.img.susercontent.com/file/id-11134207-81ztp-me8a3088bdac57"", ""https://down-id.img.susercontent.com/file/id-11134207-81ztl-me8a3088e6f837"", ""https://down-id.img.susercontent.com/file/id-11134207-81ztl-me8a3088fkzo49"", ""https://down-id.img.susercontent.com/file/id-11134207-81zte-me8a3088gzk4c1"", ""https://down-id.img.susercontent.com/file/sg-11134201-823qi-mp90wv0cn75t8a"", ""https://down-id.img.susercontent.com/file/id-11134207-81ztn-me8a3088jsp05b"", ""https://down-id.img.susercontent.com/file/id-11134207-81ztj-me8a16lkk5c35a""]","[""OFFICIAL_SHOP""]","[""id-11134258-7r98z-lykpu80ygbvs76""]",FSS+PromoXtra+SPayLater_NEW,id-11134258-822wl-mlx99kiyj4lg66,False,False,False,1665631556,38122,75000,38900,49,473138047758918,,,,,,613,10,4.7644927536231885,276,"[1, 0, 13, 35, 227]","[""Pilih Lokal""]",He-Ji,3730100,100630,"[100630, 100665]",241,Produk,"[""Gelmask 50gr"", ""Gelmask 50gr + Serum"", ""2 Gelmask 50gr""]"
Shopee,,id,2026-07-02,859233628,hejiofficial,He-Ji Official Store,KOTA BEKASI,24078859514,"[HE-JI] Tone Up Booster 100 ml - Brightening Body Booster Mengandung Niacinamide, Glutathione & Eriobotrya Japonica Extract I Lotion Tone Up Melembabkan, Mencerahkan & Menghaluskan Kulit - BPOM APPROVED",https://shopee.co.id/product/859233628/24078859514,https://down-id.img.susercontent.com/file/id-11134207-7rbkb-m6s2yg5mahrw22,"[""https://down-id.img.susercontent.com/file/id-11134207-7rbkb-m6s2yg5mahrw22"", ""https://down-id.img.susercontent.com/file/id-11134207-7rbk9-m6s2yg5mbwcc9b"", ""https://down-id.img.susercontent.com/file/id-11134207-7rbk8-m6s2yg5mdaws1e"", ""https://down-id.img.susercontent.com/file/id-11134207-7rbk5-m6s32rz3zu5da9""]","[""OFFICIAL_SHOP""]","[""id-11134258-7r98z-lykpu80ygbvs76""]",FSS+PromoXtra+SPayLater_NEW,id-11134258-822wl-mlx99kiyj4lg66,False,False,False,1715053376,38122,75000,38900,49,473138047758918,,,,,,5000,326,4.755112742527531,1907,"[12, 17, 86, 196, 1596]",[],He-Ji,3730100,100630,"[100630, 102002, 102007]",7059,He-Ji Tone Up,"[""Tone Up 1pcs"", ""Tone Up 2pcs"", ""Tone Up 3pcs""]"
Shopee,,id,2026-07-02,859233628,hejiofficial,He-Ji Official Store,KOTA BEKASI,18450976047,"[HE-JI] Rosses Secret Glow Serum 20ml - Serum Melembabkan, Mencerahkan & Memudarkan Flek Wajah I Mengandung Niacinamide 5%, Propolis Extract & Melazero Extract - UJI LAB SIG & BPOM APPROVED",https://shopee.co.id/product/859233628/18450976047,https://down-id.img.susercontent.com/file/id-11134207-81ztc-mensigdsvoxw3a,"[""https://down-id.img.susercontent.com/file/id-11134207-81ztc-mensigdsvoxw3a"", ""https://down-id.img.susercontent.com/file/id-11134207-81zth-mensigdssvt032"", ""https://down-id.img.susercontent.com/file/id-11134207-81ztc-mensigdsyi2se5"", ""https://down-id.img.susercontent.com/file/id-11134207-81ztf-mensigdsq2o4e7"", ""https://down-id.img.susercontent.com/file/id-11134207-81ztd-mensigdsuadgfc"", ""https://down-id.img.susercontent.com/file/id-11134207-81ztj-mensigdsrh8k79"", ""https://down-id.img.susercontent.com/file/id-11134207-81ztk-mensigdszwn892"", ""https://down-id.img.susercontent.com/file/id-11134207-81zti-mensigdsx3ic55""]","[""OFFICIAL_SHOP""]","[""id-11134258-7r98z-lykpu80ygbvs76""]",FSS+PromoXtra+SPayLater_NEW,id-11134258-822wl-mlx99kiyj4lg66,False,False,False,1664513507,48902,85000,49900,42,473138047758918,,,,,,955,17,4.843023255813954,344,"[2, 1, 4, 35, 302]",[],He-Ji,3730100,100630,"[100630, 100664, 100896]",279,Harga,"[""Serum 1pcs"", ""Serum 2pcs"", ""Serum 3pcs""]"
Shopee,,id,2026-07-02,859233628,hejiofficial,He-Ji Official Store,KOTA BEKASI,28601819965,"[HE-JI] Bundle 3 in 1 Complete Set - Perawatan Kulit Wajah & Badan I Masker Wajah, Serum Wajah & Body Lotion Tone Up Booster I Hydrating, Brightening & Healthy Skin - UJI LAB SIG & BPOM APRROVED",https://shopee.co.id/product/859233628/28601819965,https://down-id.img.susercontent.com/file/id-11134207-7rbk4-m6s2t887c9ksbc,"[""https://down-id.img.susercontent.com/file/id-11134207-7rbk4-m6s2t887c9ksbc"", ""https://down-id.img.susercontent.com/file/id-11134207-7rbk3-m6s2yg5lz9gn7f"", ""https://down-id.img.susercontent.com/file/id-11134207-7rbk0-m6s2yg5lz98cca"", ""https://down-id.img.susercontent.com/file/id-11134207-7rbk7-m6s2yg5m0o13a5"", ""https://down-id.img.susercontent.com/file/id-11134207-7rbk3-m6s2yg5m22ljbe"", ""https://down-id.img.susercontent.com/file/id-11134207-7rbk6-m6s2yg5m3h5ze8"", ""https://down-id.img.susercontent.com/file/id-11134207-7rbk3-m6s2yg5m4vqfb6""]","[""OFFICIAL_SHOP""]","[""id-11134258-7r98z-lykpu80ygbvs76""]",FSS+PromoXtra+SPayLater_NEW,id-11134258-822wl-mlx99kiyj4lg66,False,False,False,1717575662,65317,155000,66650,58,932595123159040,,,,,,309,2,4.897435897435898,156,"[0, 0, 4, 8, 144]",[],He-Ji,3730100,100630,"[100630, 100665]",481,Paket Bundling,"[""Serum + Tone Up"", ""Gel Mask + Tone Up"", ""Gel Mask + Serum"", ""Paket Lengkap""]"
Shopee,,id,2026-07-02,859233628,hejiofficial,He-Ji Official Store,KOTA BEKASI,23100064799,"[HE-JI] Bundle 2 Pcs Rosses Secret Glow Serum with Niacinamide 5%, Propolis Extract & Melazero Extract I Menghidrasi, Mencerahkan & Menyamarkan Bekas Jerawat Flek Hitam Pada Wajah - For All Skin Type UJI LAB SIG & BPOM APPROVED",https://shopee.co.id/product/859233628/23100064799,https://down-id.img.susercontent.com/file/id-11134207-81ztn-mensllta6goz6b,"[""https://down-id.img.susercontent.com/file/id-11134207-81ztn-mensllta6goz6b"", ""https://down-id.img.susercontent.com/file/id-11134207-81ztq-mensllta524jf1"", ""https://down-id.img.susercontent.com/file/id-11134207-81zti-mensllta28zn25"", ""https://down-id.img.susercontent.com/file/id-11134207-81zto-mensllt9y1abdc"", ""https://down-id.img.susercontent.com/file/id-11134207-81ztm-mensllt9zfur1d"", ""https://down-id.img.susercontent.com/file/id-11134207-81ztn-mensllta3nk334"", ""https://down-id.img.susercontent.com/file/id-11134207-81ztd-mensllt9wmpv78"", ""https://down-id.img.susercontent.com/file/id-11134207-81zte-mensllta0uf7bf""]","[""OFFICIAL_SHOP""]","[""id-11134258-7r98z-lykpu80ygbvs76""]",FSS+PromoXtra+SPayLater_NEW,id-11134258-822wl-mlx99kiyj4lg66,False,False,False,1665646992,97020,165000,99000,41,473138047758918,,,,,,441,3,4.9113924050632916,158,"[0, 0, 1, 12, 145]",[],He-Ji,3730100,100630,"[100630, 100664, 100896]",130,Promo Hemat,"[""Serum 1"", ""Bundle 2 Serum""]"
Shopee,,id,2026-07-03,859233628,hejiofficial,He-Ji Official Store,KOTA BEKASI,18154327789,"[HE-JI] TRAVEL SIZE Gel Masker With Sakura Extract 50gr - Masker Gel Wajah Melembabkan, Mencerahkan & Menenangkan Wajah I Mengandung Niacinamide 2%, Extract Sakura, 5x Ceramide & Centella Asiatica - UJI LAB SIG & BPOM APPROVED",https://shopee.co.id/product/859233628/18154327789,https://down-id.img.susercontent.com/file/id-11134207-8224q-ml4qej8o5slke8,"[""https://down-id.img.susercontent.com/file/id-11134207-8224q-ml4qej8o5slke8"", ""https://down-id.img.susercontent.com/file/id-11134207-8224t-ml4qej8y6sjs8f"", ""https://down-id.img.susercontent.com/file/id-11134207-8224z-ml4qej8y8748d3"", ""https://down-id.img.susercontent.com/file/id-11134207-82250-ml4qej8y9loobe"", ""https://down-id.img.susercontent.com/file/sg-11134201-823r9-mp6iyq1z7doicf"", ""https://down-id.img.susercontent.com/file/id-11134207-8224o-ml4qej8yb094e2"", ""https://down-id.img.susercontent.com/file/id-11134207-8224r-ml4qej8yf7ygb8"", ""https://down-id.img.susercontent.com/file/id-11134207-8224p-ml4qej8ycetke5"", ""https://down-id.img.susercontent.com/file/id-11134207-82251-ml4qej8ygmiw66""]","[""OFFICIAL_SHOP""]","[""id-11134258-7r98z-lykpu80ygbvs76""]",FSS+PromoXtra+SPayLater_NEW,id-11134258-822wl-mlx99kiyj4lg66,False,False,False,1665634939,36259,49000,36999,26,473138047758918,,,,,,645,74,3.96,175,"[37, 5, 3, 13, 117]",[],He-Ji,3730100,100630,"[100630, 100664, 100896]",73,Variasi,"[""1pcs Gelmask 50gr"", ""2pcs Gelmask 50gr"", ""3pcs Gelmask 50gr""]"
Shopee,,id,2026-07-03,859233628,hejiofficial,He-Ji Official Store,KOTA BEKASI,23200058244,"[HE-JI] BIG SIZE Gel Mask With Sakura Extract 250gr - Masker Gel Wajah Melembabkan, Mencerahkan & Menenangkan Wajah I Mengandung Niacinamide 2%, Extract Sakura, 5x Ceramide & Centella Asiatica - UJI LAB SIG & BPOM APPROVED",https://shopee.co.id/product/859233628/23200058244,https://down-id.img.susercontent.com/file/id-11134207-8224p-ml4qx8i3cg7c55,"[""https://down-id.img.susercontent.com/file/id-11134207-8224p-ml4qx8i3cg7c55"", ""https://down-id.img.susercontent.com/file/id-11134207-8224y-ml4qx8i0jbbhae"", ""https://down-id.img.susercontent.com/file/id-11134207-8224r-ml4qx8i0kpvxa9"", ""https://down-id.img.susercontent.com/file/id-11134207-8224u-ml4qx8i0m4gd72"", ""https://down-id.img.susercontent.com/file/sg-11134201-823re-mp8pyvpmknwred"", ""https://down-id.img.susercontent.com/file/id-11134207-82251-ml4qx8i0nj0t14"", ""https://down-id.img.susercontent.com/file/id-11134207-8224p-ml4qx8i0t5al45"", ""https://down-id.img.susercontent.com/file/id-11134207-8224r-ml4qx8i0ujv19a"", ""https://down-id.img.susercontent.com/file/id-11134207-8224z-ml4qx8i0oxl960""]","[""OFFICIAL_SHOP""]","[""id-11134258-7r98z-lykpu80ygbvs76""]",FSS+PromoXtra+SPayLater_NEW,id-11134258-822wl-mlx99kiyj4lg66,False,False,False,1665645647,97020,175000,99000,45,473138047758918,,,,,,318,32,3.9066666666666667,75,"[17, 2, 3, 2, 51]",[],He-Ji,3730100,100630,"[100630, 100664, 100898]",50,Varian,"[""1pcs Gelmask 250gr"", ""2pcs Gelmask 250gr"", ""3cs Gelmask 250gr""]"
Shopee,,id,2026-07-03,859233628,hejiofficial,He-Ji Official Store,KOTA BEKASI,24078859514,"[HE-JI] Tone Up Booster 100 ml - Brightening Body Booster Mengandung Niacinamide, Glutathione & Eriobotrya Japonica Extract I Lotion Tone Up Melembabkan, Mencerahkan & Menghaluskan Kulit - BPOM APPROVED",https://shopee.co.id/product/859233628/24078859514,https://down-id.img.susercontent.com/file/id-11134207-7rbkb-m6s2yg5mahrw22,"[""https://down-id.img.susercontent.com/file/id-11134207-7rbkb-m6s2yg5mahrw22"", ""https://down-id.img.susercontent.com/file/id-11134207-7rbk9-m6s2yg5mbwcc9b"", ""https://down-id.img.susercontent.com/file/id-11134207-7rbk8-m6s2yg5mdaws1e"", ""https://down-id.img.susercontent.com/file/id-11134207-7rbk5-m6s32rz3zu5da9""]","[""OFFICIAL_SHOP""]","[""id-11134258-7r98z-lykpu80ygbvs76""]",FSS+PromoXtra+SPayLater_NEW,id-11134258-822wl-mlx99kiyj4lg66,False,False,False,1715053376,38122,75000,38900,49,473138047758918,,,,,,5000,323,4.755369303300157,1909,"[12, 17, 86, 196, 1598]",[],He-Ji,3730100,100630,"[100630, 102002, 102007]",7062,He-Ji Tone Up,"[""Tone Up 1pcs"", ""Tone Up 2pcs"", ""Tone Up 3pcs""]"
Shopee,,id,2026-07-03,859233628,hejiofficial,He-Ji Official Store,KOTA BEKASI,28601819965,"[HE-JI] Bundle 3 in 1 Complete Set - Perawatan Kulit Wajah & Badan I Masker Wajah, Serum Wajah & Body Lotion Tone Up Booster I Hydrating, Brightening & Healthy Skin - UJI LAB SIG & BPOM APRROVED",https://shopee.co.id/product/859233628/28601819965,https://down-id.img.susercontent.com/file/id-11134207-7rbk4-m6s2t887c9ksbc,"[""https://down-id.img.susercontent.com/file/id-11134207-7rbk4-m6s2t887c9ksbc"", ""https://down-id.img.susercontent.com/file/id-11134207-7rbk3-m6s2yg5lz9gn7f"", ""https://down-id.img.susercontent.com/file/id-11134207-7rbk0-m6s2yg5lz98cca"", ""https://down-id.img.susercontent.com/file/id-11134207-7rbk7-m6s2yg5m0o13a5"", ""https://down-id.img.susercontent.com/file/id-11134207-7rbk3-m6s2yg5m22ljbe"", ""https://down-id.img.susercontent.com/file/id-11134207-7rbk6-m6s2yg5m3h5ze8"", ""https://down-id.img.susercontent.com/file/id-11134207-7rbk3-m6s2yg5m4vqfb6""]","[""OFFICIAL_SHOP""]","[""id-11134258-7r98z-lykpu80ygbvs76""]",FSS+PromoXtra+SPayLater_NEW,id-11134258-822wl-mlx99kiyj4lg66,False,False,False,1717575662,65317,155000,66650,58,932595123159040,,,,,,309,2,4.897435897435898,156,"[0, 0, 4, 8, 144]",[],He-Ji,3730100,100630,"[100630, 100665]",482,Paket Bundling,"[""Serum + Tone Up"", ""Gel Mask + Tone Up"", ""Gel Mask + Serum"", ""Paket Lengkap""]"
Shopee,,id,2026-07-03,859233628,hejiofficial,He-Ji Official Store,KOTA BEKASI,22328349764,"[HE-JI] Bundle 2 in 1 Glowing Set Gel Mask with Sakura Extract & Rosses Secret Glow Serum - Perawatan Kulit Wajah Normal & Sensitif I Paket Skincare Cocok Untuk Menenangkan, Melembabkan & Mencerahkan Wajah - BPOM APPROVED",https://shopee.co.id/product/859233628/22328349764,https://down-id.img.susercontent.com/file/id-11134207-81ztk-me8a65vuzri90e,"[""https://down-id.img.susercontent.com/file/id-11134207-81ztk-me8a65vuzri90e"", ""https://down-id.img.susercontent.com/file/id-11134207-81zth-me8a65vupxj547"", ""https://down-id.img.susercontent.com/file/id-11134207-81ztf-me8a65vurc3le2"", ""https://down-id.img.susercontent.com/file/id-11134207-81ztj-me8a65vusqo1c1"", ""https://down-id.img.susercontent.com/file/id-11134207-81ztg-me8a65vuu58h08"", ""https://down-id.img.susercontent.com/file/id-11134207-81ztq-me8a65vuvjsx9d"", ""https://down-id.img.susercontent.com/file/sg-11134201-823os-mp88hiuhdou81c"", ""https://down-id.img.susercontent.com/file/id-11134207-81ztj-me8a65vuycxt38"", ""https://down-id.img.susercontent.com/file/id-11134207-81ztj-me8a16lkk5c35a""]","[""OFFICIAL_SHOP""]","[""id-11134258-7r98z-lykpu80ygbvs76""]",FSS+PromoXtra+SPayLater_NEW,id-11134258-822wl-mlx99kiyj4lg66,False,False,False,1677639963,38122,70000,38900,46,473138047758918,,,,,,2000,463,4.82139534883721,1075,"[5, 6, 25, 104, 935]","[""Pilih Lokal""]",He-Ji,3730100,100630,"[100630, 100665]",1101,Variasi,"[""Gelmask 50gr"", ""Serum 1"", ""Gelmask 50gr + Serum"", ""Gelmask 250gr"", ""Gelmask 250gr+Serum""]"
Shopee,,id,2026-07-03,859233628,hejiofficial,He-Ji Official Store,KOTA BEKASI,23168355689,"[HE-JI] Gel Mask With Sakura Extract - Masker Gel Wajah Melembabkan, Mencerahkan & Menenangkan Wajah I Mengandung Niacinamide 2%, Extract Sakura, 5x Ceramide & Centella Asiatica - UJI LAB SIG & BPOM APPROVED",https://shopee.co.id/product/859233628/23168355689,https://down-id.img.susercontent.com/file/id-11134207-7ra0o-mdsxqvp5so0ed6,"[""https://down-id.img.susercontent.com/file/id-11134207-7ra0o-mdsxqvp5so0ed6"", ""https://down-id.img.susercontent.com/file/id-11134207-7ra0p-mdsxqvp5ogb2bf"", ""https://down-id.img.susercontent.com/file/sg-11134201-823q5-mp8lvz16ueq555"", ""https://down-id.img.susercontent.com/file/id-11134207-7ra0t-mdsxqvp5ln66a5"", ""https://down-id.img.susercontent.com/file/id-11134207-7ra0l-mdsxqvp5r9fyc2"", ""https://down-id.img.susercontent.com/file/id-11134207-7ra0s-mdsxqvo1na2z36"", ""https://down-id.img.susercontent.com/file/id-11134207-7ra0l-mdsxqvo1n9zsb0"", ""https://down-id.img.susercontent.com/file/id-11134207-7ra0j-mdsxqvp5puvi8b""]","[""OFFICIAL_SHOP""]","[""id-11134258-7r98z-lykpu80ygbvs76""]",FSS+PromoXtra+SPayLater_NEW,id-11134258-822wl-mlx99kiyj4lg66,False,False,False,1684480961,36750,75000,37500,51,473138047758918,,,,,,10000,1000,4.8222804885847665,15645,"[48, 69, 337, 1706, 13485]",[],He-Ji,3730100,100630,"[100630, 100664, 100898]",23266,Gel Mask,"[""Gelmask 50gr"", ""2 Gelmask 50gr"", ""Gelmask 250gr"", ""2 Gelmask 250gr""]"
